customer_id,gender,age,region_circle,connection_type,plan_type,contract_type,base_plan_category,tenure_months,monthly_charges,total_charges,avg_data_gb_month,avg_voice_mins_month,sms_count_month,overage_charges,is_family_plan,is_multi_service,network_issues_3m,dropped_call_rate,avg_data_speed_mbps,num_complaints_3m,num_complaints_12m,call_center_interactions_3m,last_complaint_resolution_days,app_logins_30d,selfcare_transactions_30d,auto_pay_enrolled,late_payment_flag_3m,avg_payment_delay_days,arpu,segment_value,nps_score,service_rating_last_6m,received_competitor_offer_flag,retention_offer_accepted_flag,is_churn
100020,Female,34,West,4G,Prepaid,No Contract,Prepaid Regular,99,284.75,29685.71,17.63,851.0,51.0,91.44,0,0,3,0.010012281233305689,13.634459393398592,1,2,3,5.1,8,3,0,1,4.3,285.67,Low,-7.0,3.6,0,0,0
100021,Male,30,West,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,100,208.59,22577.66,32.12,429.0,38.0,74.25,0,0,2,0.007701176431100206,13.830012537924155,0,0,1,0.0,3,4,1,0,0.0,209.33,Low,1.0,3.4,0,0,0
100022,Other,34,East,4G,Postpaid,1 Year,Postpaid Platinum,65,1113.21,64412.78,29.01,673.0,83.0,48.33,1,0,0,0.008659932848374272,8.23657460255678,0,0,0,0.0,12,2,1,1,5.3,1113.95,High,17.0,3.6,1,0,1
100023,Female,26,West,4G,Prepaid,No Contract,Prepaid Regular,26,355.33,8588.07,27.97,935.0,0.0,72.41,0,1,3,0.015898832864485443,20.578073700317752,0,0,1,0.0,7,0,0,0,1.3,358.12,Low,33.0,4.7,0,0,0
100024,Female,41,North,Fiber Home Broadband,Postpaid,1 Year,Postpaid Silver,14,428.1,5287.19,43.27,423.0,88.0,160.34,1,0,1,0.015864603800617223,14.268489646212313,0,0,1,0.0,11,2,0,0,1.2,439.55,Medium,46.0,4.8,1,0,0
100025,Male,67,West,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,115,202.96,20700.21,32.24,681.0,30.0,96.24,0,0,0,0.012316205811182371,17.07212839070245,0,0,1,0.0,8,0,1,0,0.0,203.8,Low,40.0,3.0,0,0,0
100026,Male,62,East,5G,Prepaid,No Contract,Prepaid Unlimited,37,577.23,18725.77,31.97,554.0,48.0,44.16,0,1,5,0.011270688743456823,21.381071632114136,1,2,3,3.2,3,5,0,0,1.2,578.42,Medium,14.0,2.1,0,0,1
100027,Male,28,Metro,Fiber Home Broadband,Postpaid,2 Year,Postpaid Platinum,2,1181.73,2286.82,33.18,549.0,61.0,73.46,0,1,1,0.012324686759366214,7.300618144761437,0,0,0,0.0,4,1,0,0,0.2,1218.46,High,32.0,4.2,0,0,0
100028,Male,49,West,4G,Prepaid,No Contract,Prepaid Unlimited,48,607.26,29522.07,21.42,1113.0,44.0,0.45,0,0,1,0.0385475798070382,16.44429186365302,0,0,0,0.0,6,2,0,0,1.3,607.27,Medium,-2.0,3.1,0,0,0
100029,Female,22,South,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,96,192.38,15260.22,22.12,546.0,66.0,42.85,0,0,0,0.005845309672087542,9.742164471917965,0,0,1,0.0,5,2,0,0,0.7,192.83,Low,-13.0,3.1,0,0,0
100030,Female,21,West,4G,Postpaid,2 Year,Postpaid Silver,11,463.13,5391.48,23.1,656.0,70.0,0.0,0,0,2,0.014989939166084466,23.078649738148172,0,0,1,0.0,8,0,1,0,0.1,463.13,Medium,12.0,4.0,0,0,0
100031,Other,53,South,4G,Prepaid,No Contract,Prepaid Mini,83,161.72,10935.4,9.3,737.0,58.0,61.37,0,0,1,0.014249428455519774,13.12968769497689,0,0,2,0.0,13,4,0,0,1.0,162.46,Low,43.0,2.6,0,0,0
100032,Male,35,North,4G,Prepaid,No Contract,Prepaid Unlimited,50,626.36,30244.41,11.0,1415.0,37.0,36.51,0,0,1,0.0,24.31745869597654,0,1,0,0.0,7,2,0,1,5.6,627.09,Medium,-8.0,3.8,0,0,0
100033,Male,58,East,4G,Prepaid,No Contract,Prepaid Regular,108,320.89,34459.94,26.85,403.0,34.0,0.0,0,1,2,0.01943335798131248,12.832815753249964,0,2,1,0.0,7,1,1,0,0.0,320.89,Low,-28.0,4.2,0,0,0
100034,Male,26,South,4G,Postpaid,Month-to-Month,Postpaid Platinum,54,1014.33,48513.27,36.87,379.0,59.0,17.79,0,0,3,0.027373222775559328,11.186023602697658,0,2,0,0.0,6,1,0,0,1.2,1014.66,High,16.0,4.4,1,0,0
100035,Male,24,Metro,5G,Prepaid,No Contract,Prepaid Regular,63,329.58,17598.61,22.2,555.0,0.0,137.2,1,0,2,0.025538365536253008,22.09428289264503,1,1,1,4.0,8,0,1,0,0.2,331.76,Low,31.0,2.8,0,1,1
100036,Male,58,North,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,55,178.39,8358.12,10.05,434.0,121.0,59.89,0,0,1,0.05201038682554138,7.9928429813110515,0,1,0,0.0,6,1,1,0,0.5,179.48,Low,10.0,3.5,0,0,0
100037,Male,29,Metro,4G,Postpaid,1 Year,Postpaid Silver,82,471.02,41359.61,14.59,789.0,71.0,44.94,0,0,1,0.022088237324911067,9.255452574988812,0,0,0,0.0,7,4,0,0,1.1,471.57,Medium,80.0,3.9,1,0,0
100038,Male,21,East,4G,Prepaid,No Contract,Prepaid Unlimited,9,655.74,5696.27,7.55,684.0,26.0,125.19,0,0,1,0.020478269822634256,17.65401761284251,0,2,1,0.0,7,1,0,0,0.1,669.65,Medium,15.0,2.2,0,0,1
100039,Female,62,East,4G,Prepaid,No Contract,Prepaid Unlimited,6,542.64,3091.33,42.05,303.0,43.0,21.5,0,0,0,0.025573498716027973,25.100350826364693,1,1,1,5.3,7,1,1,1,1.7,546.22,Medium,73.0,3.7,0,1,1
100040,Male,58,Metro,5G,Prepaid,No Contract,Prepaid Regular,70,418.46,31404.89,23.51,567.0,40.0,0.0,0,1,1,0.02188223909322321,15.163404464733038,0,0,0,0.0,5,3,0,0,0.0,418.46,Medium,12.0,3.4,0,0,1
100041,Female,70,East,4G,Postpaid,Month-to-Month,Postpaid Silver,47,498.36,19783.1,29.2,688.0,121.0,48.5,0,0,0,0.03120852166588168,28.919918085189657,0,2,0,0.0,12,3,0,1,6.7,499.39,Medium,14.0,3.5,0,0,1
100042,Female,52,West,4G,Prepaid,No Contract,Prepaid Mini,20,186.32,3252.45,35.26,1082.0,8.0,35.62,1,1,1,0.0,21.41010607713036,0,0,0,0.0,11,3,1,0,1.1,188.1,Low,59.0,4.2,0,0,0
100043,Male,45,West,5G,Prepaid,No Contract,Prepaid Mini,92,236.47,20870.91,19.64,622.0,17.0,71.43,0,0,2,0.008469721866127213,16.79823342881862,0,0,0,0.0,7,1,1,0,0.0,237.25,Low,17.0,3.0,0,1,1
100044,Female,56,North,5G,Prepaid,No Contract,Prepaid Mini,90,194.26,19219.51,23.27,503.0,50.0,128.25,0,0,1,0.009477791898263435,15.057466339953741,0,0,1,0.0,5,2,1,0,0.2,195.68,Low,14.0,4.4,0,1,1
100045,Female,63,West,4G,Prepaid,No Contract,Prepaid Regular,13,329.72,3465.14,24.65,688.0,59.0,22.86,1,0,3,0.0,16.26621996642452,1,1,1,4.0,11,1,0,0,0.3,331.48,Low,-15.0,3.8,0,0,1
100046,Male,53,North,5G,Prepaid,No Contract,Prepaid Regular,22,341.01,8133.94,34.62,510.0,53.0,0.0,1,0,1,0.03448498021336651,11.27165556533115,1,1,1,0.0,10,1,0,0,0.0,341.01,Low,34.0,4.2,0,0,0
100047,Male,36,West,4G,Prepaid,No Contract,Prepaid Mini,94,310.33,26715.92,26.46,797.0,68.0,40.28,0,0,1,0.049900899747332104,16.83373318865168,1,1,6,4.1,2,0,1,0,0.0,310.76,Low,62.0,3.9,0,0,0
100048,Female,68,North,4G,Prepaid,No Contract,Prepaid Unlimited,57,436.13,26096.82,28.34,684.0,55.0,0.0,0,1,3,0.04806686974948565,17.67221356263162,0,2,1,0.0,11,1,1,0,0.0,436.13,Medium,38.0,4.0,0,0,0
100049,Male,58,South,4G,Prepaid,No Contract,Prepaid Regular,37,349.45,10682.59,18.54,304.0,43.0,49.29,1,0,0,0.01036049262688352,21.90643267375178,1,1,1,2.3,10,2,1,0,0.1,350.78,Low,50.0,4.4,0,0,0
100050,Male,68,West,5G,Prepaid,No Contract,Prepaid Regular,63,393.54,21522.58,16.79,1078.0,76.0,74.18,0,0,0,0.014879742715618514,14.923664136803232,0,0,1,0.0,7,3,0,0,0.4,394.72,Low,10.0,4.8,0,0,0
100051,Male,49,East,5G,Prepaid,No Contract,Prepaid Regular,43,366.22,16871.03,30.59,688.0,12.0,91.51,1,0,2,0.019823714735113754,20.086479052149684,0,0,0,0.0,6,3,0,0,1.1,368.35,Low,46.0,3.2,0,0,1
100052,Female,43,West,4G,Prepaid,No Contract,Prepaid Regular,12,366.01,4563.97,28.48,438.0,79.0,36.85,0,0,0,0.029708619479393628,34.12265686623806,0,1,0,0.0,15,5,1,0,0.8,369.08,Low,42.0,4.6,0,0,1
100053,Female,66,East,Fiber Home Broadband,Postpaid,1 Year,Postpaid Platinum,78,1299.38,95062.82,19.67,459.0,0.0,34.61,0,1,0,0.039632752908999425,23.343201299856723,0,0,1,0.0,5,0,1,1,5.8,1299.82,High,20.0,4.8,1,0,1
100054,Female,52,North,5G,Prepaid,No Contract,Prepaid Unlimited,83,645.11,51133.02,21.24,896.0,102.0,43.87,1,0,1,0.01075663944024443,18.408266827045626,0,1,1,0.0,6,1,0,0,1.0,645.64,Medium,15.0,2.9,0,1,0
100055,Female,62,West,4G,Prepaid,No Contract,Prepaid Regular,10,339.69,3617.03,27.54,293.0,29.0,72.65,0,0,1,0.03100334202490493,13.284839602222096,0,1,1,0.0,8,1,0,0,0.8,346.96,Low,44.0,3.6,0,0,1
100056,Male,68,Metro,4G,Prepaid,No Contract,Prepaid Unlimited,30,647.81,19440.41,17.74,641.0,74.0,30.25,0,0,4,0.008959356998813495,16.607767375888727,1,1,2,2.9,16,2,0,0,0.0,648.82,Medium,-7.0,3.6,0,0,1
100057,Female,34,Metro,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,75,353.21,23544.14,15.41,577.0,13.0,93.9,0,1,1,0.04370503336689381,15.548226616727609,1,1,2,2.7,7,1,1,0,0.3,354.46,Low,11.0,3.7,0,0,0
100058,Male,29,North,Fiber Home Broadband,Postpaid,1 Year,Postpaid Silver,91,514.29,47778.34,7.31,851.0,46.0,29.49,0,0,3,0.039437600028811574,21.604943573729663,0,0,1,0.0,3,2,0,0,0.4,514.61,Medium,26.0,3.7,0,0,0
100059,Male,26,South,5G,Postpaid,Month-to-Month,Postpaid Silver,109,451.75,50255.41,32.15,642.0,14.0,94.92,1,0,1,0.0102992623556651,15.813375424279712,0,0,1,0.0,13,3,1,0,0.5,452.62,Medium,21.0,3.2,0,0,1
100060,Female,52,East,Fiber Home Broadband,Prepaid,No Contract,Prepaid Unlimited,72,558.24,39852.3,21.82,617.0,26.0,16.36,1,0,0,0.01977125130091188,18.32719588652577,1,1,2,0.6,11,0,1,0,0.1,558.47,Medium,23.0,3.7,0,0,0
100061,Male,64,Metro,4G,Prepaid,No Contract,Prepaid Unlimited,12,566.24,6427.54,19.93,538.0,19.0,78.09,0,0,2,0.006573641807423914,7.890587673322237,0,0,0,0.0,5,3,0,1,6.0,572.75,Medium,7.0,2.3,1,0,0
100062,Female,73,Metro,Fiber Home Broadband,Prepaid,No Contract,Prepaid Unlimited,42,548.96,22976.34,27.0,564.0,53.0,21.82,0,1,0,0.0,4.595872472160966,0,0,1,0.0,9,1,1,0,1.6,549.48,Medium,47.0,4.4,0,0,0
100063,Female,19,East,5G,Prepaid,No Contract,Prepaid Regular,31,304.52,8958.77,25.02,803.0,106.0,47.04,0,0,2,0.03652009402479388,20.378120930797067,0,0,1,0.0,9,2,0,0,0.5,306.04,Low,-8.0,4.3,0,0,1
100064,Female,18,West,4G,Prepaid,No Contract,Prepaid Regular,118,384.58,48956.29,15.23,466.0,56.0,86.14,0,0,1,0.014893833075640295,20.60761178894367,0,0,2,0.0,10,2,0,0,0.2,385.31,Low,22.0,4.5,0,0,0
100065,Female,56,Metro,4G,Prepaid,No Contract,Prepaid Unlimited,2,556.04,1101.4,21.46,685.0,37.0,25.04,0,0,0,0.013333883397442178,27.46433485528454,0,0,0,0.0,8,2,1,1,4.2,568.56,Medium,-20.0,3.9,1,0,1
100066,Female,33,East,4G,Prepaid,No Contract,Prepaid Regular,45,304.39,14917.3,30.14,903.0,77.0,124.34,0,0,3,0.030273648250636748,13.415311709479422,0,0,1,0.0,10,2,0,0,1.9,307.15,Low,28.0,4.6,0,0,0
100067,Male,45,West,4G,Prepaid,No Contract,Prepaid Regular,62,356.57,22073.29,25.63,322.0,29.0,69.76,0,1,2,0.03494348427318094,6.427593115030307,0,2,0,0.0,10,6,0,0,1.4,357.7,Low,45.0,4.2,0,0,0
100068,Male,22,North,5G,Prepaid,No Contract,Prepaid Unlimited,36,544.42,19031.73,34.6,739.0,0.0,64.25,1,0,2,0.0401944944306246,13.13938581072071,0,1,0,0.0,5,1,0,0,0.8,546.2,Medium,1.0,2.9,0,0,1
100069,Male,22,South,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,87,216.91,19967.28,31.2,713.0,13.0,119.03,0,0,1,0.02030276820255366,17.856376268860203,1,1,2,3.6,10,0,0,1,5.7,218.28,Low,50.0,2.8,0,0,1
100070,Male,48,North,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,16,361.59,6128.41,29.32,769.0,79.0,120.68,0,0,3,0.01466878566974703,13.768778490670844,0,0,1,0.0,7,5,0,0,0.4,369.13,Low,3.0,4.0,0,0,1
100071,Male,57,Metro,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,111,366.48,43105.62,9.09,496.0,63.0,67.8,1,0,2,0.015350172805965095,14.65146724593931,0,0,0,0.0,5,4,0,0,0.5,367.09,Low,73.0,3.6,0,0,0
100072,Female,68,North,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,48,312.94,12217.26,41.06,1125.0,95.0,85.19,0,0,2,0.008183781836192975,11.018585726557381,1,1,1,3.4,11,0,1,1,1.2,314.71,Low,-10.0,3.7,0,0,0
100073,Male,45,West,4G,Prepaid,No Contract,Prepaid Unlimited,44,567.69,26169.03,26.42,536.0,64.0,37.82,0,0,0,0.02495791990121487,17.81933980588176,0,1,2,0.0,8,1,0,0,0.5,568.55,Medium,50.0,4.1,0,0,0
100074,Male,54,East,4G,Prepaid,No Contract,Prepaid Regular,110,369.44,36407.76,31.62,1089.0,53.0,54.41,0,0,2,0.008735181946754728,13.74466366871906,0,2,0,0.0,10,2,0,0,1.3,369.93,Low,5.0,4.7,0,0,0
100075,Male,67,Metro,Fiber Home Broadband,Postpaid,1 Year,Postpaid Gold,18,670.99,9898.88,40.73,751.0,40.0,257.21,0,0,2,0.012127212491172037,13.729262394936537,0,0,2,0.0,12,2,1,0,1.6,685.28,Medium,68.0,4.0,0,0,1
100076,Male,42,East,Fiber Home Broadband,Prepaid,No Contract,Prepaid Regular,56,362.4,19772.96,27.94,1059.0,68.0,68.96,1,0,1,0.025380121071457033,14.964370747054366,0,0,0,0.0,10,4,0,1,4.3,363.63,Low,49.0,3.9,0,0,1
100077,Female,29,North,4G,Prepaid,No Contract,Prepaid Regular,4,349.84,1558.41,6.22,1148.0,31.0,112.16,1,0,0,0.03511302690785311,16.848268258294667,1,1,2,1.6,6,2,1,0,0.8,377.88,Low,42.0,4.2,0,1,0
100078,Female,65,South,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,61,237.36,15495.69,5.31,693.0,101.0,65.81,0,0,0,0.003054258737794805,10.489577466513865,0,1,0,0.0,10,1,1,0,0.5,238.44,Low,53.0,4.2,0,0,0
100079,Female,18,South,4G,Prepaid,No Contract,Prepaid Regular,39,285.05,10342.84,8.61,945.0,8.0,86.63,1,0,1,0.0,27.834300266312177,0,0,0,0.0,9,2,0,0,1.1,287.27,Low,4.0,2.6,0,0,1
100080,Female,33,East,4G,Postpaid,Month-to-Month,Postpaid Silver,89,473.95,34277.25,13.02,1064.0,43.0,28.53,0,0,0,0.0,29.316889907654456,1,2,1,4.2,7,2,0,0,1.1,474.27,Medium,77.0,4.3,0,0,1
100081,Male,25,East,5G,Prepaid,No Contract,Prepaid Regular,61,354.11,22727.2,36.27,996.0,49.0,0.0,0,0,2,0.02751482092425652,19.619674121243154,0,1,0,0.0,8,1,0,0,1.4,354.11,Low,1.0,3.6,0,0,1
100082,Female,54,East,4G,Prepaid,No Contract,Prepaid Regular,75,400.22,30240.65,31.36,315.0,55.0,0.0,0,0,5,0.04478770249532677,22.17437358777718,1,1,1,2.9,11,3,1,0,1.5,400.22,Medium,-4.0,4.2,0,0,1
100083,Male,33,North,4G,Prepaid,No Contract,Prepaid Regular,108,379.62,35596.67,27.89,487.0,27.0,0.0,0,1,1,0.025512143565754226,12.81518290204404,0,0,0,0.0,8,1,1,1,4.2,379.62,Low,22.0,3.9,0,0,0
100084,Male,37,North,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,114,179.8,16739.41,22.86,596.0,80.0,38.67,0,0,4,0.026300321988891786,18.47730689736739,1,1,1,0.0,7,1,1,0,1.0,180.14,Low,24.0,5.0,0,0,1
100085,Male,55,East,4G,Prepaid,No Contract,Prepaid Regular,26,356.38,9988.15,40.9,844.0,37.0,29.56,1,0,1,0.03701980043800335,15.878807080128052,0,0,1,0.0,8,0,1,0,0.1,357.52,Low,50.0,3.5,0,1,1
100086,Female,34,Metro,5G,Postpaid,Month-to-Month,Postpaid Gold,60,869.96,43797.99,23.45,419.0,18.0,19.75,0,1,0,0.017032817304481317,22.60966497859668,0,0,0,0.0,7,3,0,0,0.7,870.29,High,50.0,3.9,1,0,1
100087,Male,38,West,5G,Prepaid,No Contract,Prepaid Mini,93,223.78,20136.05,10.23,381.0,5.0,54.37,1,1,2,0.03137374061144807,25.573340778443896,0,1,1,0.0,8,2,0,0,1.1,224.36,Low,10.0,3.7,1,0,1
100088,Male,46,South,4G,Postpaid,Month-to-Month,Postpaid Gold,16,895.76,15619.85,21.03,682.0,33.0,0.0,1,0,1,0.027702488741718552,22.940942211466222,1,1,1,3.4,5,2,0,0,0.0,895.76,High,17.0,2.7,0,0,0
100089,Female,24,North,4G,Prepaid,No Contract,Prepaid Regular,58,304.96,19263.28,32.1,531.0,25.0,96.12,0,0,3,0.0025358770157224222,17.270270108532806,0,0,2,0.0,9,2,1,0,0.3,306.62,Low,6.0,2.9,0,0,0
100090,Male,71,West,5G,Prepaid,No Contract,Prepaid Regular,67,424.6,25171.54,30.29,329.0,56.0,79.35,0,0,0,0.025831445411395655,24.969931908076866,1,1,3,2.9,9,4,1,1,1.0,425.78,Medium,-3.0,3.9,0,1,0
100091,Female,73,South,Fiber Home Broadband,Prepaid,No Contract,Prepaid Mini,104,171.76,15515.78,3.15,594.0,46.0,68.43,0,0,1,0.024805023282721304,26.564901899384765,0,0,0,0.0,14,1,1,0,1.1,172.42,Low,26.0,3.5,0,0,1
100092,Male,58,West,5G,Postpaid,Month-to-Month,Postpaid Gold,11,817.44,7804.88,22.31,629.0,62.0,84.39,1,0,2,0.0,12.526684676965875,0,0,0,0.0,10,1,0,0,1.0,825.11,High,40.0,3.6,0,1,1
100093,Male,24,West,4G,Prepaid,No Contract,Prepaid Regular,103,326.6,28687.11,40.64,853.0,83.0,2.68,1,0,3,0.023561706189004765,10.333008136755467,0,0,1,0.0,9,3,0,0,0.2,326.63,Low,16.0,3.3,0,0,0
100094,Male,44,West,5G,Prepaid,No Contract,Prepaid Regular,29,346.32,9450.84,17.28,502.0,75.0,13.39,0,0,2,0.003293589491657655,18.59307408514417,0,0,0,0.0,10,1,0,0,1.1,346.78,Low,-17.0,2.6,0,0,1
100095,Female,38,East,Fiber Home Broadband,Prepaid,No Contract,Prepaid Unlimited,103,579.49,52053.65,16.13,320.0,31.0,20.65,0,0,0,0.008900556832073163,15.543765827203101,0,0,1,0.0,5,1,1,0,0.8,579.69,Medium,49.0,3.9,1,0,0
100096,Male,27,Metro,5G,Prepaid,No Contract,Prepaid Unlimited,78,702.07,53236.49,25.52,895.0,6.0,37.4,0,0,0,0.016683460593049215,20.686523065178502,0,0,0,0.0,9,2,0,0,0.7,702.55,Medium,-3.0,4.2,0,0,0
100097,Male,67,West,4G,Prepaid,No Contract,Prepaid Unlimited,48,524.34,20724.42,39.3,610.0,52.0,72.51,1,0,0,0.017649354498521282,15.95504903670136,0,0,2,0.0,10,0,0,0,0.6,525.85,Medium,35.0,3.6,0,1,0
100098,Male,41,Metro,4G,Prepaid,No Contract,Prepaid Regular,16,276.74,4616.41,12.27,715.0,63.0,0.0,0,1,2,0.036467139252100676,11.496481913657972,0,1,0,0.0,9,1,0,0,1.0,276.74,Low,66.0,4.0,0,0,0
100099,Other,55,Metro,4G,Postpaid,Month-to-Month,Postpaid Gold,42,716.67,29700.38,28.49,285.0,57.0,48.49,0,0,0,0.0198565978522314,27.183170344918878,1,1,1,3.3,11,1,0,0,0.4,717.82,Medium,-6.0,3.6,0,0,0
100100,Female,57,Metro,4G,Prepaid,No Contract,Prepaid Regular,89,307.64,24444.14,21.2,585.0,42.0,95.56,1,1,1,0.030497383469152074,13.158585692858843,1,1,2,1.8,11,3,1,0,0.7,308.71,Low,27.0,4.3,0,0,0
100101,Female,36,West,Fiber Home Broadband,Prepaid,No Contract,Prepaid Unlimited,25,630.25,14611.46,8.5,571.0,112.0,0.0,0,0,0,0.04079545142531351,12.834304848019492,0,1,0,0.0,7,4,1,0,1.8,630.25,Medium,-31.0,3.5,0,0,1
100102,Male,37,Metro,5G,Prepaid,No Contract,Prepaid Regular,80,341.32,27048.53,23.72,481.0,64.0,56.98,0,0,2,0.007592887048970067,9.752486203656165,0,0,0,0.0,7,6,0,0,0.9,342.03,Low,-4.0,3.7,0,0,1
